architecture,split,f1_macro
fc_2048-64_relu,Treino,0.6839089478258065
fc_2048-64_relu,Validação,0.696136894638423
fc_2048-64_relu,Teste,0.6833329930115029
fc_1024-64-sigmoid,Treino,0.7629171338791322
fc_1024-64-sigmoid,Validação,0.766017792104803
fc_1024-64-sigmoid,Teste,0.7627302027213607
fc_1024-256_relu,Treino,0.7826630122233005
fc_1024-256_relu,Validação,0.7794937747438072
fc_1024-256_relu,Teste,0.7901427750255431
fc_512-128_tanh,Treino,0.6323330835431208
fc_512-128_tanh,Validação,0.6505511021417486
fc_512-128_tanh,Teste,0.6358579477243045
fc_2048-512_gelu,Treino,0.680740113427361
fc_2048-512_gelu,Validação,0.675575699877569
fc_2048-512_gelu,Teste,0.6887979739684589
fc_1024-256_silu,Treino,0.6829591754498003
fc_1024-256_silu,Validação,0.7002969407096966
fc_1024-256_silu,Teste,0.6914925888933195
